=== GROUPS ===
group,n_sheets,closest_to_mean,closest_rms_mm,group_mean_std_mm,group_max_std_mm
A_1,5,A_1_4,0.0527,0.1374,0.4964
A_1.5,5,A_1.5_2R,0.1094,0.1473,0.3257
B_1,5,b_1_4,0.0656,0.0890,2.1132
B_1.5,5,B_1.5_5R,0.1075,0.2810,1.9960
C_1,5,C_1_3,0.0512,0.0789,0.8647
C_1.5,5,C_1.5_5,0.1191,0.3920,1.3990

=== ALL SHEETS (deviation from group mean) ===
group,sheet,mean_dev_mm,std_dev_mm,rms_dev_mm,max_pos_mm,max_neg_mm,pct_pos,pct_neg,closest_to_mean
A_1,A_1_1,0.0684,0.1548,0.1692,0.4050,-0.3358,67.3,32.7,
A_1,A_1_2,-0.1177,0.1981,0.2304,0.3486,-0.7024,32.1,67.9,
A_1,A_1_3,0.1010,0.2173,0.2396,0.8209,-0.2886,61.1,38.9,
A_1,A_1_4,-0.0046,0.0525,0.0527,0.1796,-0.1865,52.5,47.5,YES
A_1,A_1_5,-0.0471,0.0852,0.0974,0.2654,-0.2514,39.6,60.4,
A_1.5,A_1.5_1,-0.0806,0.1905,0.2069,0.3276,-0.5125,35.7,64.3,
A_1.5,A_1.5_2R,0.0374,0.1029,0.1094,0.3077,-0.2393,61.0,39.0,YES
A_1.5,A_1.5_3,-0.0568,0.1504,0.1608,0.3219,-0.4485,35.6,64.4,
A_1.5,A_1.5_4,-0.0386,0.1038,0.1108,0.2468,-0.2755,35.3,64.7,
A_1.5,A_1.5_5,0.1387,0.1327,0.1919,0.4339,-0.2060,87.1,12.8,
B_1,B_1_1R,-0.0185,0.0962,0.0980,0.5003,-1.9997,50.2,49.8,
B_1,B_1_2,-0.0374,0.1281,0.1334,0.5780,-2.1132,39.3,60.7,
B_1,B_1_3,0.0380,0.1176,0.1236,2.1132,-0.1003,42.5,57.5,
B_1,b_1_4,-0.0487,0.0439,0.0656,0.8660,-2.1915,16.6,83.4,YES
B_1,B_1_5,0.0667,0.0811,0.1051,0.3787,-2.1132,84.0,16.0,
B_1.5,B_1.5_1,-0.0501,0.4609,0.4636,2.2117,-0.7533,19.8,80.2,
B_1.5,B_1.5_2,-0.0108,0.4247,0.4248,2.1244,-0.6923,24.2,75.7,
B_1.5,B_1.5_3,0.0063,0.3850,0.3851,0.6760,-1.9352,74.5,25.5,
