=== MEAN SHEET CURVATURE ===
group,K_mean,K_std,K_min,K_max,K_abs_mean,K_abs_max
A_1,-0.00000000,0.00000097,-0.00004805,0.00002569,0.00000019,0.00004805
A_1.5,0.00000001,0.00000284,-0.00012120,0.00012681,0.00000030,0.00012681
B_1,-0.00000013,0.00000877,-0.00047565,0.00031504,0.00000094,0.00047565
B_1.5,-0.00000028,0.00001357,-0.00047772,0.00078747,0.00000120,0.00078747
C_1,-0.00000038,0.00001540,-0.00081498,0.00058119,0.00000128,0.00081498
C_1.5,-0.00000012,0.00001396,-0.00046493,0.00141137,0.00000100,0.00141137

=== SHEET CURVATURE (all sheets) ===
group,sheet,K_mean,K_std,K_min,K_max,K_abs_mean,K_abs_max
A_1,A_1_1_aligned,0.00000000,0.00000119,-0.00005089,0.00004208,0.00000026,0.00005089
A_1,A_1_2_aligned,-0.00000000,0.00000126,-0.00006772,0.00004155,0.00000025,0.00006772
A_1,A_1_3_aligned,0.00000000,0.00000106,-0.00004913,0.00004356,0.00000022,0.00004913
A_1,A_1_4_aligned,0.00000000,0.00000120,-0.00005620,0.00004247,0.00000025,0.00005620
A_1,A_1_5_aligned,0.00000001,0.00000130,-0.00004827,0.00005068,0.00000028,0.00005068
A_1.5,A_1.5_1_aligned,0.00000001,0.00000291,-0.00011234,0.00012520,0.00000035,0.00012520
A_1.5,A_1.5_2_aligned,0.00000001,0.00000316,-0.00013344,0.00014755,0.00000036,0.00014755
A_1.5,A_1.5_3_aligned,0.00000001,0.00000300,-0.00012988,0.00012670,0.00000034,0.00012988
A_1.5,A_1.5_4_aligned,0.00000001,0.00000289,-0.00011101,0.00011766,0.00000036,0.00011766
A_1.5,A_1.5_5_aligned,0.00000001,0.00000282,-0.00011938,0.00012152,0.00000034,0.00012152
B_1,B_1_1_aligned,-0.00000013,0.00000798,-0.00054124,0.00031788,0.00000080,0.00054124
B_1,B_1_2_aligned,-0.00000016,0.00000993,-0.00069631,0.00039619,0.00000091,0.00069631
B_1,B_1_3_aligned,-0.00000016,0.00000913,-0.00062563,0.00036353,0.00000087,0.00062563
B_1,B_1_4_aligned,-0.00000015,0.00000873,-0.00058495,0.00033775,0.00000085,0.00058495
B_1,B_1_5_aligned,-0.00000020,0.00001027,-0.00076890,0.00032590,0.00000090,0.00076890
B_1.5,B_1.5_1_aligned,-0.00000030,0.00000896,-0.00047014,0.00048024,0.00000080,0.00048024
B_1.5,B_1.5_2_aligned,-0.00000031,0.00000911,-0.00047227,0.00051870,0.00000080,0.00051870
B_1.5,B_1.5_3_aligned,-0.00000024,0.00001093,-0.00051268,0.00083735,0.00000082,0.00083735
B_1.5,B_1.5_4_aligned,-0.00000025,0.00001106,-0.00051419,0.00085817,0.00000083,0.00085817
B_1.5,B_1.5_5_aligned,-0.00000028,0.00001068,-0.00049291,0.00078655,0.00000087,0.00078655
C_1,C_1_1_aligned,-0.00000043,0.00001543,-0.00080969,0.00052016,0.00000128,0.00080969
C_1,C_1_2_aligned,-0.00000041,0.00001527,-0.00081819,0.00051542,0.00000126,0.00081819
C_1,C_1_3_aligned,-0.00000042,0.00001534,-0.00081597,0.00051453,0.00000126,0.00081597
C_1,C_1_4_aligned,-0.00000043,0.00001552,-0.00081747,0.00050374,0.00000130,0.00081747
C_1,C_1_5_aligned,-0.00000042,0.00001559,-0.00082239,0.00056984,0.00000129,0.00082239
C_1.5,C_1.5_1_aligned,-0.00000017,0.00001132,-0.00047439,0.00089991,0.00000094,0.00089991
C_1.5,C_1.5_2_aligned,-0.00000017,0.00001125,-0.00046146,0.00090013,0.00000096,0.00090013
C_1.5,C_1.5_3_aligned,-0.00000018,0.00001135,-0.00044996,0.00092641,0.00000095,0.00092641
C_1.5,C_1.5_4_aligned,-0.00000027,0.00001040,-0.00048279,0.00060035,0.00000086,0.00060035
C_1.5,C_1.5_5_aligned,-0.00000018,0.00001137,-0.00047793,0.00090276,0.00000094,0.00090276

=== SIMULATED PLATE CURVATURE ===
group,K_mean,K_std,K_min,K_max,K_abs_mean,K_abs_max,alignment_rmse
A_1,-0.00000317,0.00010993,-0.00906162,0.00007935,0.00000337,0.00906162,42.3304
A_1.5,-0.00000230,0.00009094,-0.00889471,0.00008042,0.00000251,0.00889471,52.7178
B_1,-0.00000064,0.00002481,-0.00174384,0.00037996,0.00000140,0.00174384,1.0602
B_1.5,0.00000002,0.00001237,-0.00116603,0.00039487,0.00000080,0.00116603,13.6588
C_1,-0.00000022,0.00001071,-0.00061483,0.00032164,0.00000088,0.00061483,2.8529
C_1.5,-0.00000017,0.00001071,-0.00059783,0.00040835,0.00000091,0.00059783,12.2368

=== MEAN SHEET vs SIMULATED PLATE (K difference) ===
group,K_diff_mean,K_diff_std,K_diff_abs_mean,K_diff_abs_max
A_1,0.00000317,0.00010997,0.00000341,0.00906161
A_1.5,0.00000235,0.00009119,0.00000268,0.00889475
B_1,0.00000050,0.00002532,0.00000158,0.00179463
B_1.5,-0.00000010,0.00001554,0.00000141,0.00116120
C_1,-0.00000005,0.00000738,0.00000076,0.00049935
C_1.5,-0.00000002,0.00000858,0.00000106,0.00048760

=== EACH SHEET vs SIMULATED (K difference) ===
group,sheet,K_diff_mean,K_diff_std,K_diff_abs_mean,K_diff_abs_max
A_1,A_1_1_aligned,0.00000318,0.00011007,0.00000349,0.00906160
A_1,A_1_2_aligned,0.00000317,0.00010997,0.00000344,0.00906161
A_1,A_1_3_aligned,0.00000319,0.00011012,0.00000345,0.00906168
A_1,A_1_4_aligned,0.00000318,0.00011001,0.00000347,0.00906163
A_1,A_1_5_aligned,0.00000318,0.00011001,0.00000350,0.00906160
A_1.5,A_1.5_1_aligned,0.00000236,0.00009120,0.00000272,0.00889466
A_1.5,A_1.5_2_aligned,0.00000236,0.00009121,0.00000272,0.00889483
A_1.5,A_1.5_3_aligned,0.00000236,0.00009121,0.00000270,0.00889469
A_1.5,A_1.5_4_aligned,0.00000235,0.00009119,0.00000273,0.00889476
A_1.5,A_1.5_5_aligned,0.00000236,0.00009122,0.00000269,0.00889483
B_1,B_1_1_aligned,0.00000049,0.00002555,0.00000162,0.00174806
B_1,B_1_2_aligned,0.00000047,0.00002577,0.00000169,0.00175142
B_1,B_1_3_aligned,0.00000048,0.00002552,0.00000159,0.00175213
B_1,B_1_4_aligned,0.00000049,0.00002555,0.00000161,0.00175202
B_1,B_1_5_aligned,0.00000039,0.00002119,0.00000136,0.00178607
B_1.5,B_1.5_1_aligned,-0.00000007,0.00001285,0.00000106,0.00116391
B_1.5,B_1.5_2_aligned,-0.00000007,0.00001287,0.00000106,0.00116397
B_1.5,B_1.5_3_aligned,-0.00000009,0.00000742,0.00000084,0.00070320
B_1.5,B_1.5_4_aligned,-0.00000009,0.00000746,0.00000085,0.00070283
B_1.5,B_1.5_5_aligned,-0.00000006,0.00001292,0.00000107,0.00116384
C_1,C_1_1_aligned,-0.00000005,0.00000746,0.00000077,0.00047739
C_1,C_1_2_aligned,-0.00000004,0.00000731,0.00000075,0.00049652
C_1,C_1_3_aligned,-0.00000005,0.00000699,0.00000075,0.00047439
C_1,C_1_4_aligned,-0.00000003,0.00000812,0.00000084,0.00052054
C_1,C_1_5_aligned,-0.00000004,0.00000789,0.00000080,0.00052756
C_1.5,C_1.5_1_aligned,-0.00000000,0.00000868,0.00000106,0.00049087
C_1.5,C_1.5_2_aligned,-0.00000002,0.00000783,0.00000099,0.00044960
C_1.5,C_1.5_3_aligned,0.00000002,0.00000930,0.00000110,0.00048921
C_1.5,C_1.5_4_aligned,0.00000004,0.00000890,0.00000105,0.00050161
C_1.5,C_1.5_5_aligned,0.00000000,0.00000869,0.00000106,0.00049675

=== CROSS-GROUP K DIFFERENCE (mean sheets) ===
comparison,K_diff_mean,K_diff_std,K_diff_abs_mean,K_diff_abs_max
A_1_vs_A_1.5,0.00000004,0.00000272,0.00000038,0.00012621
B_1_vs_B_1.5,0.00000008,0.00000761,0.00000089,0.00042409
C_1_vs_C_1.5,0.00000031,0.00001363,0.00000134,0.00077973
